"site","n","type","variant_positive","date_end","session_type"
"Clunes",1,"beta 2d.i",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.ii",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.iii",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.iv",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.v",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.vi",FALSE,2017-08-12,"C"
"Clunes",1,"beta 2d.i",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.i",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.ii",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.ii",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.iii",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.iii",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.iv",TRUE,2018-02-20,"C"
"Clunes",1,"beta 2d.iv",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.v",TRUE,2018-02-20,"C"
"Clunes",1,"beta 2d.v",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.vi",FALSE,2018-02-20,"C"
"Clunes",1,"beta 2d.vi",FALSE,2018-02-20,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.i",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.ii",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.ii",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.ii",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.ii",FALSE,2018-05-25,"C"
"Redcliffe",1,"beta 2d.ii",FALSE,2018-05-25,"C"
